Original order in ppt,"Source (Probe list, Patient)",Semantic  Category,Cog Status (Span/Cat),Palabra en English,Palabra en Castellano,Paraula en Català,Espal_NSYL,Espal_IMG,Espal_NLET,Espal_CON,Espal_FAM,ClearpondFrequency_PerMil_Esp,Coca_word Freq (Total) - Web/Dialects,COCA_full freq Eng,Clearpond_wordLength_orthographic_Eng,Clearpond_Lexical_Frequency_Eng,MRC Concreteness,MRC Familiarity,MRC Imigability,MRC N_of_Letters,MRC N_of_Syllables,CAT_SUBTLEX_NSYL,NIM_NLET,NIM_WordFreq_Relativa,NIM_WordFreq_Total_Absoluta
29.0,Probe List,clothing,0.0,hat,sombrero,barret,3.0,6.559,8.0,5.927,5.927,32.8606,18124.0,34230.0,3.0,64.1765,601.0,580.0,562.0,8.0,1.0,2.0,6.0,33.4805,1716.0
32.0,Probe List,object,0.0,candle ,vela,espelma,2.0,5.781,4.0,5.098,5.098,10.5529,25217.0,NA,7.0,NA,NA,NA,NA,4.0,2.0,3.0,7.0,4.56553,234.0
33.0,Probe List,food/veg,0.0,olive,aceituna,oliva,4.0,2.0,8.0,2.0,2.0,NA,1528.0,18950.0,5.0,7.3529,618.0,444.0,578.0,8.0,2.0,3.0,5.0,11.1212,570.0
34.0,Probe List,instrument,1.0,clarinet,clarinete,clarinet,4.0,2.0,9.0,2.0,2.0,1.4423,1285.0,1165.0,8.0,1.5686,633.0,464.0,593.0,9.0,3.0,3.0,8.0,1.63891,84.0
35.0,Probe List,animal,0.0,owl,búho,mussol,2.0,6.072,4.0,6.097,6.097,2.0673,2385.0,5519.0,3.0,5.6078,614.0,477.0,595.0,4.0,1.0,2.0,6.0,5.98982,307.0
36.0,Probe List,body parts,0.0,eye,ojo,ull,2.0,6.309,3.0,5.937,5.937,64.8317,118844.0,97624.0,3.0,111.7843,634.0,611.0,603.0,3.0,1.0,1.0,3.0,89.457,4585.0
37.0,Probe List,kitchen item,0.0,knife,cuchillo,ganivet,3.0,6.499,8.0,6.506,6.506,41.5385,15973.0,29274.0,5.0,46.8039,612.0,573.0,633.0,8.0,1.0,3.0,7.0,21.5399,1104.0
38.0,Probe List,animal,0.0,duck,pato,ànec,2.0,6.573,4.0,6.249,6.249,14.9038,10709.0,14115.0,4.0,24.7647,606.0,529.0,632.0,4.0,1.0,2.0,4.0,4.54602,233.0
39.0,Probe List,clothing,0.0,vest,chaleco,armilla,3.0,6.495,7.0,5.988,5.988,7.5481,5111.0,5413.0,4.0,5.5686,575.0,472.0,581.0,7.0,1.0,3.0,7.0,5.89226,302.0
40.0,Probe List,furniture,0.0,lamp,lámpara,làmpara,3.0,6.104,7.0,6.112,6.112,10.2404,10115.0,9110.0,4.0,12.8824,615.0,578.0,575.0,7.0,1.0,3.0,7.0,2.14619,110.0
41.0,Probe List,object,2.0,paint,pintura ,pintura,2.0,2.0,8.0,2.0,2.0,NA,NA,37599.0,5.0,36.8039,577.0,551.0,567.0,8.0,1.0,3.0,7.0,75.7799,3884.0
42.0,Probe List,kitchen item,0.0,fork ,tenedor,forquilla,3.0,6.413,7.0,6.292,6.292,5.9856,5562.0,NA,5.0,NA,NA,NA,NA,7.0,1.0,3.0,9.0,4.29238,220.0
44.0,Probe List,games,0.0,chess,ajedrez,escacs,3.0,5.318,7.0,5.804,5.804,9.6875,15421.0,6578.0,5.0,7.451,NA,NA,NA,7.0,1.0,2.0,6.0,5.56058,285.0
45.0,Probe List,animal,0.0,lizard,lagartija,sargantana/llangardaix,4.0,2.0,9.0,2.0,2.0,1.6827,1104.0,3111.0,6.0,4.8431,588.0,483.0,632.0,9.0,2.0,NA,10.5,NA,NA
47.0,Probe List,kitchen item,0.0,Corkscrew,Sacacorchos,llevataps,2.0,2.0,11.0,2.0,2.0,NA,NA,NA,9.0,NA,NA,NA,NA,11.0,2.0,3.0,9.0,NA,NA
48.0,Probe List,food/nuts,0.0,pistachios,pistachos/pistaches,festucs,2.5,2.0,9.0,2.0,2.0,NA,NA,619.0,10.0,NA,NA,NA,NA,9.0,NA,2.0,7.0,NA,NA
49.0,Probe List,animal,0.0,monkey,mono,mico,2.0,6.562,4.0,5.269,5.269,33.125,19920.0,11449.0,6.0,33.5098,566.0,531.0,588.0,4.0,2.0,2.0,4.0,2.49738,128.0
50.0,Probe List,object,0.0,ceiling ,techo,sostre,2.0,5.873,5.0,5.676,5.676,41.4423,43151.0,NA,8.0,NA,NA,NA,NA,5.0,2.0,2.0,6.0,34.0659,1746.0
