Original order in ppt,"Source (Probe list, Patient)",Semantic  Category,Cog Status (Span/Cat),Palabra en English,Palabra en Castellano,Paraula en Català,Espal_NSYL,Espal_IMG,Espal_NLET,Espal_CON,Espal_FAM,ClearpondFrequency_PerMil_Esp,Coca_word Freq (Total) - Web/Dialects,COCA_full freq Eng,Clearpond_wordLength_orthographic_Eng,Clearpond_Lexical_Frequency_Eng,MRC Concreteness,MRC Familiarity,MRC Imigability,MRC N_of_Letters,MRC N_of_Syllables,CAT_SUBTLEX_NSYL,NIM_NLET,NIM_WordFreq_Relativa,NIM_WordFreq_Total_Absoluta
177.0,Probe List,animal,1.0,shark,tiburón,tauró,3.0,2.0,7.0,2.0,2.0,13.8702,7564.0,8964.0,5.0,14.9804,611.0,516.0,602.0,7.0,1.0,2.0,5.0,0.97554,50.0
182.0,Probe List,hygene product/ health,0.0,brush,cepillo,raspall,3.0,6.003,7.0,5.499,5.499,9.4712,6854.0,19467.0,5.0,14.1569,589.0,579.0,570.0,7.0,1.0,2.0,7.0,3.21928,165.0
187.0,Probe List,transportation,1.0,stroller,cochecito/carrito,cotxet,3.5,2.0,8.0,2.0,2.0,NA,NA,1862.0,8.0,0.88235,NA,NA,NA,8.0,2.0,2.0,6.0,1.03407,53.0
188.0,Probe List,object,0.0,Fence,Valla,Tanca,2.0,2.0,5.0,2.0,2.0,NA,NA,NA,5.0,NA,NA,NA,NA,5.0,2.0,NA,5.0,NA,NA
194.0,Probe List,kitchen item,0.0,bottle,botella,ampolla,3.0,6.765,7.0,6.034,6.034,43.0769,31400.0,33515.0,6.0,50.7451,591.0,591.0,619.0,7.0,2.0,3.0,7.0,20.4863,1050.0
198.0,Probe List,household item,0.0,chair,silla,cadira,2.0,6.54,5.0,6.524,6.524,55.4567,37111.0,62880.0,5.0,49.2353,606.0,617.0,610.0,5.0,1.0,3.0,6.0,52.2109,2676.0
200.0,Probe List,household item,1.0,Vacuum cleaner,Aspiradora,aspirador,2.0,2.0,10.0,2.0,2.0,NA,NA,NA,14.0,NA,NA,NA,NA,10.0,4.0,4.0,9.0,0.25364,13.0
201.0,Probe List,transportation,1.0,Traffic lights,Semàforo,Semàfor,2.0,2.0,8.0,2.0,2.0,NA,NA,NA,14.0,NA,NA,NA,NA,8.0,3.0,NA,7.0,NA,NA
203.0,Probe List,nature,1.0,Planets,Planetas,Planetes,2.0,2.0,8.0,2.0,2.0,NA,NA,NA,7.0,NA,NA,NA,NA,8.0,2.0,NA,8.0,NA,NA
204.0,Probe List,transportation,1.0,sled,trineo,trineu,3.0,2.0,6.0,2.0,2.0,4.2788,1119.0,2215.0,4.0,2.9216,0.0,477.0,NA,6.0,1.0,2.0,6.0,0.74141,38.0
205.0,Probe List,hygiene product/health,1.0,Walking stick/cane,Bastón,Bastó,2.0,2.0,6.0,2.0,2.0,NA,NA,NA,8.5,NA,NA,NA,NA,6.0,2.0,NA,5.0,NA,NA
206.0,Probe List,tools,1.0,Saw,Serrucho,Serra,2.0,2.0,8.0,2.0,2.0,NA,NA,NA,3.0,NA,NA,NA,NA,8.0,1.0,NA,5.0,NA,NA
207.0,Probe List,household item,1.0,Cushions,Cojines,Coixins,2.0,2.0,7.0,2.0,2.0,NA,NA,NA,8.0,NA,NA,NA,NA,7.0,2.0,NA,7.0,NA,NA
208.0,Probe List,food/veg,1.0,Zucchini,Calabacín/calabaza,Carabassó,3.0,2.0,8.5,2.0,2.0,NA,NA,NA,8.0,NA,NA,NA,NA,8.5,3.0,NA,9.0,NA,NA
209.0,Probe List,kitchen item,1.0,Juicer,Exprimidor,Espremedor,2.0,2.0,10.0,2.0,2.0,NA,NA,NA,6.0,NA,NA,NA,NA,10.0,2.0,NA,10.0,NA,NA
210.0,Probe List,household item,1.0,Dresser,Cajonera,Calaixera,2.0,2.0,8.0,2.0,2.0,NA,NA,NA,7.0,NA,NA,NA,NA,8.0,2.0,NA,9.0,NA,NA
211.0,Probe List,food/veg,2.0,cabbage,repollo/col,col,2.0,2.0,5.0,2.0,2.0,NA,NA,4465.0,7.0,2.902,611.0,504.0,573.0,5.0,2.0,1.0,3.0,8.3116,426.0
212.0,Probe List,object,1.0,Fishbowl,Pecera,Peixera,2.0,2.0,6.0,2.0,2.0,NA,NA,NA,8.0,NA,NA,NA,NA,6.0,2.0,NA,7.0,NA,NA
213.0,Probe List,transportation,1.0,Tow,Remolque/grúa,Remolc,2.0,2.0,6.0,2.0,2.0,NA,NA,NA,3.0,NA,NA,NA,NA,6.0,1.0,NA,6.0,NA,NA
214.0,Probe List,household item,1.0,Laundry basket,Cestón,Cistella,2.0,2.0,6.0,2.0,2.0,NA,NA,NA,14.0,NA,NA,NA,NA,6.0,4.0,NA,8.0,NA,NA
215.0,Probe List,hygiene product/health,1.0,Nail file,Lima,lima,2.0,2.0,4.0,2.0,2.0,NA,NA,NA,9.0,NA,NA,NA,NA,4.0,3.0,2.0,4.0,NA,NA
216.0,Probe List,object,1.0,Pool float/floatie,Flotador,Flotador,2.0,2.0,8.0,2.0,2.0,NA,NA,NA,8.5,NA,NA,NA,NA,8.0,2.0,NA,8.0,NA,NA
217.0,Probe List,place,2.0,Cabin,Cabaña,Cabanya,2.0,2.0,6.0,2.0,2.0,NA,NA,NA,5.0,NA,NA,NA,NA,6.0,2.0,NA,7.0,NA,NA
218.0,Probe List,object,1.0,Mailbox,Buzón,Bústia,2.0,2.0,5.0,2.0,2.0,NA,NA,NA,7.0,NA,NA,NA,NA,5.0,2.0,NA,6.0,NA,NA
219.0,Probe List,kitchen item,1.0,Sponge,Esponja,Esponja,2.0,2.0,7.0,2.0,2.0,NA,NA,NA,6.0,NA,NA,NA,NA,7.0,2.0,NA,7.0,NA,NA
221.0,Probe List,kitchen item,1.0,Cup,Taza,Tassa,2.0,2.0,4.0,2.0,2.0,NA,NA,NA,3.0,NA,NA,NA,NA,4.0,1.0,NA,5.0,NA,NA
222.0,Probe List,electronics,1.0,Microphone,Micrófono,Micròfon,2.0,2.0,9.0,2.0,2.0,NA,NA,NA,10.0,NA,NA,NA,NA,9.0,4.0,NA,8.0,NA,NA
223.0,Probe List,food/veg,1.0,Pepper,Pimiento ,Pebrot ,2.0,2.0,9.0,2.0,2.0,NA,NA,NA,6.0,NA,NA,NA,NA,9.0,2.0,NA,7.0,NA,NA
224.0,Probe List,object,1.0,Street light,Farola,Fanal,2.0,2.0,6.0,2.0,2.0,NA,NA,NA,12.0,NA,NA,NA,NA,6.0,2.0,NA,5.0,NA,NA
226.0,Probe List,household item,1.0,Mop,Fregona/trapeadora/mapo,fregona,2.0,2.0,7.0,2.0,2.0,NA,NA,NA,3.0,NA,NA,NA,NA,7.0,1.0,3.0,7.0,0.117065,6.0
227.0,Probe List,hygiene product/health,1.0,Syringe,Jeringuilla/jeringa,Xeringa,2.5,2.0,9.0,2.0,2.0,NA,NA,NA,7.0,NA,NA,NA,NA,9.0,3.0,NA,7.0,NA,NA
228.0,Probe List,object,2.0,Rearview,Retrovisor,Retrovisor,2.0,2.0,10.0,2.0,2.0,NA,NA,NA,8.0,NA,NA,NA,NA,10.0,2.0,NA,10.0,NA,NA
229.0,Probe List,instrument,2.0,Tambourine,Pandereta,Pandereta,2.0,2.0,9.0,2.0,2.0,NA,NA,NA,10.0,NA,NA,NA,NA,9.0,4.0,NA,9.0,NA,NA
230.0,Probe List,transportation/tools,2.0,Excavator,Excavadora,Excavadora,2.0,2.0,10.0,2.0,2.0,NA,NA,NA,9.0,NA,NA,NA,NA,10.0,4.0,NA,10.0,NA,NA
231.0,Probe List,household item,1.0,Coat rack,Perchero,Penjarrobes/Penjador,2.0,2.0,8.0,2.0,2.0,NA,NA,NA,9.0,NA,NA,NA,NA,8.0,2.0,NA,9.5,NA,NA
232.0,Probe List,kitchen item,1.0,stove,estufa/cocina,estufa/cuina,3.0,6.0255,6.0,6.103,6.103,NA,NA,9230.0,5.0,7.5882,591.0,525.0,592.0,6.0,1.0,NA,5.5,NA,NA
233.0,Probe List,tools,1.0,Hammer,Martillo,Martell,2.0,2.0,8.0,2.0,2.0,NA,NA,NA,6.0,NA,NA,NA,NA,8.0,2.0,NA,7.0,NA,NA
234.0,Probe List,food/dessert,1.0,chocolate,chocolate,xocolata,4.0,6.624,9.0,6.127,6.127,47.1154,39556.0,26236.0,9.0,29.3922,576.0,560.0,611.0,9.0,3.0,4.0,8.0,13.1503,674.0
235.0,Probe List,sport,2.0,tennis,tenis,tennis,2.0,5.495,5.0,6.018,6.018,18.75,19356.0,17051.0,6.0,13.6275,574.0,528.0,634.0,5.0,2.0,2.0,6.0,2.65347,136.0
236.0,Probe List,clothing,1.0,Glove,Guante ,Guant ,2.0,2.0,7.0,2.0,2.0,NA,NA,NA,5.0,NA,NA,NA,NA,7.0,2.0,NA,6.0,NA,NA
237.0,Probe List,household item,1.0,thermostat,termostato,termòstat,4.0,2.0,10.0,2.0,2.0,1.3702,1710.0,1253.0,10.0,1.1373,NA,NA,NA,10.0,3.0,3.0,9.0,0.156086,8.0
239.0,Probe List,kitchen item,1.0,toaster,tostadora,torradora,4.0,2.0,9.0,2.0,2.0,2.5721,607.0,1749.0,7.0,3.8824,579.0,520.0,580.0,9.0,2.0,4.0,9.0,0.448748,23.0
240.0,Probe List,animal,1.0,Dolphin,delfín,dofí,2.0,2.0,6.0,2.0,2.0,3.2933,4178.0,NA,7.0,NA,NA,NA,NA,6.0,2.0,2.0,4.0,1.48282,76.0
241.0,Probe List,transportation,1.0,bicycle,bicicleta,bicicleta,4.0,6.578,9.0,6.8,6.8,24.4712,32332.0,9663.0,7.0,6.6078,NA,NA,NA,9.0,3.0,4.0,9.0,6.88731,353.0
242.0,Probe List,tools,2.0,chain,cadena,cadena,3.0,6.443,6.0,4.143,4.143,32.5962,109690.0,32845.0,5.0,21.2157,595.0,513.0,559.0,6.0,1.0,3.0,6.0,29.0126,1487.0
243.0,Probe List,accessory,1.0,bag,bolsa,bossa,2.0,5.035,5.0,4.724,4.724,73.9423,65638.0,62855.0,3.0,94.0392,603.0,634.0,570.0,5.0,1.0,2.0,5.0,18.9255,970.0
244.0,Probe List,kitchen item,1.0,plate,plato,plat,2.0,2.0,5.0,2.0,2.0,27.7644,44449.0,34843.0,5.0,25.6471,595.0,556.0,527.0,5.0,1.0,1.0,4.0,42.514,2179.0
245.0,Probe List,tools,1.0,hook,gancho,ganxo,2.0,4.878,6.0,4.658,4.658,6.4663,5700.0,19926.0,4.0,38.0,525.0,497.0,541.0,6.0,1.0,2.0,5.0,5.34596,274.0
246.0,Probe List,hygiene product/ health,1.0,deodorant,desodorante,desodorant,5.0,2.0,11.0,2.0,2.0,2.9567,2276.0,1061.0,9.0,1.6078,NA,NA,NA,11.0,4.0,4.0,10.0,0.117065,6.0
247.0,Probe List,tools,1.0,rake,rastrillo,rasclet,3.0,2.0,9.0,2.0,2.0,1.2981,674.0,2344.0,4.0,2.9804,597.0,476.0,550.0,9.0,1.0,2.0,7.0,0.604835,31.0
248.0,Probe List,animal,1.0,snail,caracol,caragol,3.0,6.535,7.0,6.126,6.126,2.3798,15310.0,1906.0,5.0,1.7647,579.0,489.0,577.0,7.0,1.0,3.0,7.0,3.92167,201.0
249.0,Probe List,place,1.0,garden,jardín,jardí,2.0,5.864,6.0,6.261,6.261,39.5192,47622.0,56364.0,6.0,26.549,602.0,567.0,635.0,6.0,2.0,2.0,5.0,68.8926,3531.0
250.0,Probe List,food/fruit,2.0,kiwi,kiwi,kiwi,2.0,2.0,4.0,2.0,2.0,1.25,2152.0,941.0,4.0,0.78431,NA,NA,NA,4.0,2.0,2.0,4.0,NA,NA
251.0,Probe List,animal,1.0,dragonfly,libélula,libèl·lula,4.0,2.0,8.0,2.0,2.0,1.1058,557.0,573.0,9.0,2.8431,NA,NA,NA,8.0,NA,4.0,10.0,0.370705,19.0
252.0,Probe List,tools,1.0,paintbrush,pincel,pinzell,2.0,5.86,6.0,6.346,6.346,1.3702,5567.0,709.0,10.0,0.52941,NA,NA,NA,6.0,2.0,2.0,7.0,6.26297,321.0
253.0,Probe List,place,1.0,theater,teatro,teatre,3.0,6.03,6.0,6.034,6.034,38.125,123031.0,42399.0,7.0,24.0392,NA,NA,NA,6.0,2.0,3.0,6.0,119.582,6129.0
254.0,Probe List,transportation,2.0,motorcycle,moto/motocicleta/motora,moto,3.3333333333333335,3.6326666666666667,7.0,3.1133333333333333,3.1133333333333333,NA,NA,6753.0,10.0,8.9216,NA,NA,NA,7.0,4.0,2.0,4.0,3.92167,201.0
255.0,Probe List,body part,1.0,ear,Oreja ,Orella ,2.0,2.0,6.0,2.0,2.0,NA,NA,30738.0,3.0,32.0,337.0,582.0,408.0,6.0,1.0,NA,7.0,NA,NA
256.0,Probe List,tools,2.0,shovel,pala,pala,2.0,6.263,4.0,5.479,5.479,6.4423,4554.0,4442.0,6.0,6.8431,581.0,528.0,538.0,4.0,2.0,2.0,4.0,6.75074,346.0
257.0,Probe List,place,1.0,castle,castillo,castell,3.0,6.346,8.0,5.914,5.914,21.2981,56232.0,15378.0,6.0,21.549,0.0,415.0,NA,8.0,2.0,2.0,7.0,82.2575,4216.0
258.0,Probe List,kitchen item,1.0,microwave,microondas,microones,4.0,2.0,10.0,2.0,2.0,6.4183,9502.0,6761.0,9.0,3.902,NA,NA,NA,10.0,NA,4.0,9.0,0.156086,8.0
260.0,Probe List,animal,1.0,parrot,loro/perico/cotorra,lloro,2.6666666666666665,3.369666666666667,5.666666666666667,3.4470000000000005,3.4470000000000005,NA,NA,2468.0,6.0,3.2745,NA,NA,NA,5.666666666666667,2.0,2.0,5.0,4.66308,239.0
261.0,Probe List,household item,1.0,door,puerta,porta,2.0,5.804,6.0,6.323,6.323,328.8702,174870.0,210291.0,4.0,292.0588,606.0,630.0,599.0,6.0,1.0,2.0,5.0,458.543,23502.0
262.0,Probe List,instrument,2.0,drum,tambor/batería,tambor/bateria,3.0,6.0634999999999994,6.5,5.3485,5.3485,NA,NA,8932.0,4.0,8.4706,602.0,506.0,599.0,6.5,1.0,NA,6.5,NA,NA
263.0,Probe List,food/veg,2.0,beet,remolacha,remolatxa,4.0,2.0,9.0,2.0,2.0,1.2019,2764.0,1238.0,4.0,NA,645.0,497.0,555.0,9.0,1.0,4.0,9.0,3.08271,158.0
264.0,Probe List,body part,1.0,nails ,uñas,ungles,2.0,2.0,4.0,2.0,2.0,17.0433,26387.0,NA,6.0,NA,NA,NA,NA,4.0,1.0,2.0,6.0,15.3745,788.0
266.0,Probe List,object,2.0,wallet,cartera ,cartera,2.0,2.0,8.0,2.0,2.0,NA,NA,10782.0,6.0,22.8039,584.0,558.0,617.0,8.0,2.0,3.0,7.0,12.6235,647.0
267.0,Probe List,food/veg,1.0,tomato,tomate/jitomate,tomàquet,2.5,4.314,7.0,4.208,4.208,NA,NA,10946.0,6.0,5.902,662.0,574.0,610.0,7.0,3.0,3.0,8.0,7.00438,359.0
270.0,Probe List,object,1.0,thread,hilo,fil,2.0,6.37,4.0,5.825,5.825,9.3029,31026.0,18914.0,6.0,5.1569,607.0,522.0,568.0,4.0,1.0,1.0,3.0,56.6984,2906.0
271.0,Probe List,food/fruit,1.0,cherry,cereza,cirera,3.0,2.0,6.0,2.0,2.0,4.8317,2520.0,11529.0,6.0,13.5882,611.0,514.0,582.0,6.0,2.0,3.0,6.0,3.31684,170.0
272.0,Probe List,clothing,1.0,coat,abrigo,abric,3.0,6.72,6.0,4.983,4.983,25.3365,11510.0,28202.0,4.0,42.0784,601.0,610.0,572.0,6.0,1.0,2.0,5.0,13.5015,692.0
273.0,Probe List,animal/part,1.0,hoof,pezuña,peülla,3.0,2.0,6.0,2.0,2.0,NA,533.0,1010.0,4.0,1.7255,596.0,401.0,598.0,6.0,1.0,3.0,6.0,0.468259,24.0
274.0,Probe List,nature,1.0,lightning,relámpago/rayo,llampec/llamp,3.0,6.221,6.5,5.9079999999999995,5.9079999999999995,NA,NA,13203.0,9.0,14.1373,525.0,465.0,599.0,6.5,2.0,NA,6.0,NA,NA
275.0,Probe List,kitchen item,2.0,pot,olla,olla ,2.0,6.186,4.0,5.962,5.962,4.4712,14287.0,26348.0,3.0,22.5294,584.0,577.0,598.0,4.0,1.0,NA,5.0,NA,NA
276.0,Probe List,object,2.0,sprinkler,aspersor,aspersor/ruixador,3.0,2.0,8.0,2.0,2.0,NA,128.0,1022.0,9.0,0.92157,NA,NA,NA,8.0,2.0,NA,8.0,NA,NA
277.0,Probe List,place,1.0,bathroom,baño/lavabo,bany or lavabo,2.5,6.4735,5.0,5.856999999999999,5.856999999999999,NA,NA,35094.0,8.0,61.6667,NA,NA,NA,5.0,2.0,NA,14.0,NA,NA
278.0,Probe List,animal,1.0,penguin,pingüino,pingüí,3.0,2.0,8.0,2.0,2.0,3.75,2472.0,4321.0,7.0,2.8824,0.0,360.0,NA,8.0,2.0,2.0,6.0,0.0780432,4.0
279.0,Probe List,kitchen item,1.0,pitcher,jarra,gerra,2.0,5.829,5.0,6.259,6.259,3.6779,2478.0,12010.0,7.0,3.2353,NA,NA,NA,5.0,2.0,2.0,5.0,6.59465,338.0
280.0,Probe List,animal,1.0,eagle,águila,àguila,3.0,5.591,6.0,6.406,6.406,4.4712,NA,11420.0,5.0,11.4902,616.0,465.0,601.0,6.0,2.0,3.0,6.0,5.67764,291.0
281.0,Probe List,professional/person,1.0,dentist,dentista,dentista,3.0,2.0,8.0,2.0,2.0,15.601,7902.0,6082.0,7.0,11.1961,607.0,563.0,622.0,8.0,2.0,3.0,8.0,2.39983,123.0
282.0,Probe List,electronics,1.0,headphones,auriculares,auriculars,5.0,2.0,11.0,2.0,2.0,2.476,5473.0,3755.0,10.0,1.5686,NA,NA,NA,11.0,NA,4.0,10.0,0.917008,47.0
284.0,Probe List,animal,1.0,horse,caballo,cavall,3.0,6.648,7.0,6.228,6.228,62.1635,46523.0,44581.0,5.0,92.8824,613.0,560.0,624.0,7.0,1.0,2.0,6.0,80.1504,4108.0
285.0,Probe List,kitchen item,1.0,spatula,espátula,espàtula,4.0,2.0,8.0,2.0,2.0,0.86538,1745.0,1678.0,7.0,1.098,NA,NA,NA,8.0,3.0,4.0,8.0,2.06814,106.0
286.0,Probe List,object,1.0,Diamond,diamante,diamant,3.0,2.0,8.0,2.0,2.0,13.2452,8822.0,NA,7.0,NA,NA,NA,NA,8.0,2.0,3.0,7.0,6.08737,312.0
287.0,Probe List,transportation,1.0,gondola,góndola,gòndola,3.0,2.0,7.0,2.0,2.0,NA,1206.0,991.0,7.0,0.72549,606.0,291.0,572.0,7.0,3.0,NA,7.0,0.23413,12.0
288.0,Probe List,animal,1.0,crocodile,cocodrilo ,cocodril ,2.0,2.0,10.0,2.0,2.0,NA,NA,1915.0,9.0,2.2549,583.0,456.0,601.0,10.0,3.0,NA,9.0,NA,NA
289.0,Probe List,body part,1.0,Arm,Brazo ,Braç ,2.0,2.0,6.0,2.0,2.0,NA,NA,NA,3.0,NA,NA,NA,NA,6.0,1.0,NA,5.0,NA,NA
290.0,Probe List,object,1.0,zipper,cremallera/cierra,cremallera,3.0,3.5635,8.0,3.91,3.91,NA,NA,2237.0,6.0,2.8235,NA,NA,NA,8.0,2.0,4.0,10.0,1.19016,61.0
291.0,Probe List,animal,1.0,beetle,escarabajo,escarabat,5.0,2.0,10.0,2.0,2.0,1.9712,2464.0,2871.0,6.0,2.0588,619.0,503.0,640.0,10.0,2.0,4.0,9.0,3.2583,167.0
292.0,Probe List,drink,1.0,coffee,café,cafè,2.0,2.0,4.0,6.203,6.203,155.9135,NA,69798.0,6.0,144.5294,613.0,625.0,618.0,4.0,2.0,2.0,4.0,65.927,3379.0
293.0,Probe List,kitchen item,2.0,thermos,termo,termo,2.0,2.0,5.0,2.0,2.0,1.4663,1804.0,989.0,7.0,1.1176,NA,NA,NA,5.0,2.0,2.0,5.0,0.117065,6.0
294.0,Probe List,transportation,1.0,helicopter,helicóptero,helicòpter,5.0,2.0,11.0,2.0,2.0,30.625,10335.0,12244.0,10.0,15.8039,NA,NA,NA,11.0,4.0,4.0,10.0,1.17065,60.0
295.0,Probe List,object,1.0,hieroglyphics,jeroglíficos,jeroglífics,5.0,2.0,12.0,2.0,2.0,0.98558,1364.0,386.0,13.0,0.43137,NA,NA,NA,12.0,4.0,4.0,11.0,0.799943,41.0
296.0,Probe List,clothing,1.0,blouse,blusa,brusa,2.0,5.195,5.0,6.4,6.4,8.8462,4959.0,4681.0,6.0,5.3333,640.0,562.0,595.0,5.0,1.0,2.0,5.0,8.05796,413.0
297.0,Probe List,accessory,2.0,bracelet,pulsera/brazalete,pulsera/braçalet,3.5,3.977,8.0,6.0895,6.0895,NA,NA,4235.0,8.0,7.8039,602.0,547.0,606.0,8.0,2.0,NA,7.5,NA,NA
298.0,Probe List,object,1.0,book,libro,llibre,2.0,6.261,5.0,6.066,6.066,159.7356,591886.0,303554.0,4.0,176.9804,609.0,643.0,591.0,5.0,1.0,2.0,6.0,209.546,10740.0
299.0,Probe List,electronics,1.0,keyboard,teclado,teclat,3.0,2.0,7.0,2.0,2.0,3.0288,26209.0,9959.0,8.0,1.8039,NA,NA,NA,7.0,2.0,2.0,6.0,1.93157,99.0
300.0,Probe List,clothing,1.0,tie,Corbata,corbata,2.0,2.0,7.0,2.0,2.0,NA,NA,30048.0,3.0,44.4314,568.0,559.0,551.0,7.0,1.0,3.0,7.0,12.5064,641.0
301.0,Probe List,object,1.0,microscope,microscopio,microscopi,4.0,6.011,11.0,6.69,6.69,2.8365,5836.0,3853.0,10.0,2.5294,591.0,493.0,617.0,11.0,3.0,4.0,10.0,5.58009,286.0
302.0,Probe List,plant,2.0,palm,palmera/palma,palmera,2.5,4.2085,6.0,3.025,3.025,NA,NA,21943.0,4.0,13.2353,596.0,515.0,555.0,6.0,1.0,3.0,7.0,4.93623,253.0
303.0,Probe List,tool,1.0,wheelbarrow,carretilla,carretó,4.0,2.0,10.0,2.0,2.0,1.8029,1327.0,867.0,11.0,0.60784,NA,NA,NA,10.0,3.0,3.0,7.0,4.17531,214.0
304.0,Probe List,object,1.0,pedal,pedal,pedal,2.0,2.0,5.0,2.0,2.0,1.3462,3671.0,3977.0,5.0,2.0392,NA,NA,NA,5.0,2.0,2.0,5.0,1.48282,76.0
305.0,Probe List,animal,2.0,Rat,rata/ratón,rata/ratolí,2.0,6.1815,4.5,6.2445,6.2445,NA,NA,NA,3.0,NA,NA,NA,NA,4.5,1.0,NA,5.0,NA,NA
306.0,Probe List,body part,1.0,Foot,Pie ,Peu ,2.0,2.0,4.0,2.0,2.0,NA,NA,NA,4.0,NA,NA,NA,NA,4.0,1.0,NA,4.0,NA,NA
308.0,Probe List,object,1.0,basket,cesta,cistella,2.0,6.057,5.0,5.811,5.811,3.7019,4592.0,13011.0,6.0,13.1765,606.0,485.0,560.0,5.0,2.0,3.0,8.0,4.1558,213.0
309.0,Probe List,professional/person,1.0,magician,mago,mag,2.0,5.773,4.0,5.415,5.415,16.5144,14980.0,3642.0,8.0,7.6471,560.0,528.0,569.0,4.0,3.0,1.0,3.0,0.585324,30.0
310.0,Probe List,object,1.0,podium,podio,podi,2.0,2.0,5.0,2.0,2.0,1.4423,7864.0,4401.0,6.0,1.2745,546.0,455.0,508.0,5.0,2.0,2.0,4.0,0.23413,12.0
311.0,Probe List,animal,1.0,camel,camello,camell,3.0,2.0,7.0,2.0,2.0,5.625,3832.0,3672.0,5.0,5.0196,597.0,421.0,561.0,7.0,2.0,2.0,6.0,3.84363,197.0
312.0,Probe List,transportation,2.0,trailer,trailer/caravana,trailer/ caravana/ rilot,3.0,3.7005,7.5,3.623,3.623,NA,NA,14138.0,7.0,11.3529,597.0,528.0,587.0,7.5,2.0,NA,7.333333333333333,NA,NA
313.0,Probe List,object,1.0,needle,aguja,agulla,3.0,5.93,5.0,5.875,5.875,11.226,11930.0,9273.0,6.0,11.9216,NA,NA,NA,5.0,2.0,3.0,6.0,22.9642,1177.0
314.0,Probe List,nature,1.0,tornado,tornado,tornado,3.0,2.0,7.0,2.0,2.0,4.0385,5153.0,5826.0,7.0,2.549,644.0,484.0,591.0,7.0,3.0,3.0,7.0,0.097554,5.0
315.0,Probe List,object,2.0,velcro,velcro,velcro,2.0,2.0,6.0,2.0,2.0,1.0337,666.0,949.0,6.0,0.84314,NA,NA,NA,6.0,2.0,2.0,6.0,NA,NA
316.0,Probe List,transportation,2.0,train,tren,tren,1.0,6.528,4.0,6.188,6.188,70.9856,57269.0,58945.0,5.0,95.0588,592.0,548.0,593.0,4.0,1.0,1.0,4.0,47.4308,2431.0
317.0,Probe List,animal,1.0,ladybug,mariquita/catarina/chinita,marieta,3.6666666666666665,3.364333333333333,8.0,3.16,3.16,NA,NA,339.0,7.0,0.39216,NA,NA,NA,8.0,3.0,4.0,7.0,0.917008,47.0
318.0,Probe List,place,1.0,wardrobe,armario ,armari,2.0,2.0,8.0,2.0,2.0,NA,NA,4933.0,8.0,6.4706,NA,NA,NA,8.0,2.0,3.0,6.0,16.8183,862.0
319.0,Probe List,animal,1.0,zebra,cebra,zebra,2.0,2.0,5.0,2.0,2.0,1.8029,2128.0,1652.0,5.0,2.5098,NA,NA,NA,5.0,2.0,2.0,5.0,0.526792,27.0
320.0,Probe List,accessory,1.0,ring,anillo,anell,3.0,6.611,6.0,5.952,5.952,59.7356,25466.0,48322.0,4.0,92.7451,593.0,589.0,601.0,6.0,1.0,2.0,5.0,16.9744,870.0
322.0,Probe List,food/snack,1.0,raisins ,Pasas,panses,2.0,2.0,5.0,2.0,2.0,NA,NA,NA,8.0,NA,NA,NA,NA,5.0,2.0,2.0,6.0,3.16075,162.0
329.0,Probe List,games,1.0,ball,pelota,pilota,3.0,6.211,6.0,5.92,5.92,40.4808,47083.0,90567.0,4.0,104.9608,615.0,575.0,622.0,6.0,1.0,3.0,6.0,29.6174,1518.0
324.0,Probe List,place,1.0,airport,aeropuerto,aeroport,5.0,6.356,10.0,6.118,6.118,47.5962,57367.0,36793.0,7.0,38.0392,NA,NA,NA,10.0,2.0,4.0,8.0,2.79004,143.0
325.0,Probe List,animal,2.0,goat ,cabra,cabra,2.0,6.111,5.0,6.22,6.22,10.024,7591.0,NA,5.0,NA,NA,NA,NA,5.0,1.0,2.0,5.0,11.5894,594.0
326.0,Probe List,professional/person,1.0,referee,árbitro,àrbitre,3.0,2.0,7.0,2.0,2.0,4.399,NA,2943.0,7.0,3.5882,554.0,534.0,564.0,7.0,3.0,3.0,7.0,7.70677,395.0
331.0,Probe List,kitchen item,1.0,whisk,batidora,batedor/minipimer,4.0,2.0,8.0,2.0,2.0,NA,2766.0,4947.0,5.0,0.56863,NA,NA,NA,8.0,1.0,NA,8.0,NA,NA
323.0,Probe List,transportation,1.0,airplane,avión,avió,2.0,5.81,5.0,6.249,6.249,123.0529,65364.0,11115.0,8.0,10.9216,NA,NA,NA,5.0,2.0,3.0,4.0,9.63833,494.0
327.0,Probe List,place,1.0,Desert,Desierto,desert,2.0,2.0,8.0,2.0,2.0,NA,NA,NA,6.0,NA,NA,NA,NA,8.0,2.0,2.0,6.0,34.2805,1757.0
330.0,Probe List,animal,1.0,fish,pez/peces,peix/peixos,1.5,4.385,4.0,3.587,3.587,NA,NA,82524.0,4.0,83.4902,597.0,548.0,615.0,4.0,1.0,NA,5.0,NA,NA
328.0,Probe List,object,1.0,umbrella,paraguas/sombrilla,paraigua,3.0,5.7095,8.5,5.8580000000000005,5.8580000000000005,NA,NA,6797.0,8.0,7.4902,606.0,511.0,592.0,8.5,3.0,3.0,8.0,6.94584,356.0
332.0,Probe List,food/veg,1.0,broccoli,brócoli,bròquil,3.0,2.0,7.0,2.0,2.0,2.0433,3489.0,4537.0,8.0,2.2745,NA,NA,NA,7.0,3.0,2.0,7.0,0.760921,39.0
