Descriptor,N_SYL,NLET,WordFreq
TrainedSpanishVsTrainedCatalan,0.9002339139175004,0.4858261216287344,0.018766540416161378
TrainedCatalanVsUntrainedCatalan,0.015539474724022097,0.0009432031410005718,0.9064656722053235
TrainedSpanishVsUntrainedCatalan,0.011933609983911733,0.010368095937817082,0.04585178426401771
TrainedSpanishVsUntrainedSpanish,0.014655331952684732,0.018022358735377476,0.8512906115409133
TrainedCatalanVsUntrainedSpanish,0.020041237604473572,0.001850586923409436,0.006364865694089031
