Ttests Within Languages_Catalan,CAT_SUBTLEX_NSYL,NIM_NLET,NIM_WordFreq_Relativa,NIM_WordFreq_Total_Absoluta
"S1,2",0.20703125,0.07359018595681212,0.44780683593775134,0.44780691315366244
"S1,3",0.3202059502482199,0.2514309986189216,0.6166023969045376,0.6166019992092486
"S1,4",0.23806045994723948,0.44076576512240095,0.3341761870139478,0.334176432194601
"S1,5",0.13550322232892656,0.11256068439848511,0.8274899346474713,0.8274885269321044
"S1,6",0.3009917566539344,0.42336579272278285,0.5296342091715345,0.5296342595779908
"S1,7",1.0,0.5871188240948401,0.38159794952257653,0.3815979587990581
"S1,8",0.05397109198144717,0.042273124315738125,0.39008366810957185,0.39008375010948315
"S2,1",0.20703125,0.07359018595681212,0.44780683593775134,0.44780691315366244
"S2,3",0.7303577669616784,0.7174069448238002,0.5787452044892324,0.5787454445485599
"S2,4",0.7745952022538601,0.3465935070873341,0.8218929943380081,0.821892512813174
"S2,5",0.5097172396141371,0.6328523158602033,0.523780218101416,0.5237801041549444
"S2,6",0.6225756634545612,0.4001153328972179,0.5934609440075331,0.5934612246029298
"S2,7",0.20703125,0.020261873125749404,0.9137422432359594,0.9137427897679318
"S2,8",0.14683945485052935,0.6814328342393496,0.235114715330646,0.2351149707950127
"S3,1",0.3202059502482199,0.2514309986189216,0.6166023969045376,0.6166019992092486
"S3,2",0.7303577669616784,0.7174069448238002,0.5787452044892324,0.5787454445485599
"S3,4",0.8943301265544445,0.640629569260511,0.5301179935454121,0.5301188245026607
"S3,5",0.8943301265544445,1.0,0.5888074221231987,0.5888065476063924
"S3,6",0.8814316427730805,0.6918233323025467,0.762022292718249,0.7620227143774432
"S3,7",0.3202059502482199,0.13002213990583597,0.5444875734885551,0.5444877253773828
"S3,8",0.41858023203305367,0.48952706121598066,0.4525743329993094,0.45257441875790266
"S4,1",0.23806045994723948,0.44076576512240095,0.3341761870139478,0.334176432194601
"S4,2",0.7745952022538601,0.3465935070873341,0.8218929943380081,0.821892512813174
"S4,3",0.8943301265544445,0.640629569260511,0.5301179935454121,0.5301188245026607
"S4,5",0.7328098736023416,0.547172240248208,0.41066346107420804,0.41066336126860026
"S4,6",0.7606146647713952,0.9490451791673239,0.6927210654840393,0.6927222958057642
"S4,7",0.23806045994723948,0.21866408228015277,0.9019190688392638,0.9019177895845764
"S4,8",0.2437372839506171,0.20922843878903852,0.38244908538173317,0.38244969432872844
"S5,1",0.13550322232892656,0.11256068439848511,0.8274899346474713,0.8274885269321044
"S5,2",0.5097172396141371,0.6328523158602033,0.523780218101416,0.5237801041549444
"S5,3",0.8943301265544445,1.0,0.5888074221231987,0.5888065476063924
"S5,4",0.7328098736023416,0.547172240248208,0.41066346107420804,0.41066336126860026
"S5,6",0.9390492608844294,0.6159781331157715,0.5723522093610108,0.5723519139663782
"S5,7",0.13550322232892656,0.021805665725000763,0.45990291503229985,0.45990271904106694
"S5,8",0.34905169228385086,0.3768487612757836,0.4861610902074035,0.48616110066458995
"S6,1",0.3009917566539344,0.42336579272278285,0.5296342091715345,0.5296342595779908
"S6,2",0.6225756634545612,0.4001153328972179,0.5934609440075331,0.5934612246029298
"S6,3",0.8814316427730805,0.6918233323025467,0.762022292718249,0.7620227143774432
"S6,4",0.7606146647713952,0.9490451791673239,0.6927210654840393,0.6927222958057642
"S6,5",0.9390492608844294,0.6159781331157715,0.5723522093610108,0.5723519139663782
"S6,7",0.3009917566539344,0.22150296465383032,0.6382694666982992,0.6382693197056701
"S6,8",0.5790154287158977,0.24799119188929045,0.3226522919303079,0.32265258414821013
"S7,1",1.0,0.5871188240948401,0.38159794952257653,0.3815979587990581
"S7,2",0.20703125,0.020261873125749404,0.9137422432359594,0.9137427897679318
"S7,3",0.3202059502482199,0.13002213990583597,0.5444875734885551,0.5444877253773828
"S7,4",0.23806045994723948,0.21866408228015277,0.9019190688392638,0.9019177895845764
"S7,5",0.13550322232892656,0.021805665725000763,0.45990291503229985,0.45990271904106694
"S7,6",0.3009917566539344,0.22150296465383032,0.6382694666982992,0.6382693197056701
"S7,8",0.05397109198144717,0.012507601471340226,0.40960903603017884,0.40960935683510113
"S8,1",0.05397109198144717,0.042273124315738125,0.39008366810957185,0.39008375010948315
"S8,2",0.14683945485052935,0.6814328342393496,0.235114715330646,0.2351149707950127
"S8,3",0.41858023203305367,0.48952706121598066,0.4525743329993094,0.45257441875790266
"S8,4",0.2437372839506171,0.20922843878903852,0.38244908538173317,0.38244969432872844
"S8,5",0.34905169228385086,0.3768487612757836,0.4861610902074035,0.48616110066458995
"S8,6",0.5790154287158977,0.24799119188929045,0.3226522919303079,0.32265258414821013
"S8,7",0.05397109198144717,0.012507601471340226,0.40960903603017884,0.40960935683510113
