Ttests Within Languages_Catalan,CAT_SUBTLEX_NSYL,NIM_NLET,NIM_WordFreq_Relativa,NIM_WordFreq_Total_Absoluta
"S1,2",0.21079575400291176,0.7532288962544533,0.22846758933029634,0.22846740384801054
"S1,3",0.2508153597684457,0.18730219201099668,0.29076213935488676,0.29076185338635746
"S1,4",0.044629239177473363,0.07457875679256992,0.2797945880741028,0.27979429252443705
"S1,5",0.14683945485052935,0.26700449847913116,0.4759946969542542,0.4759949057557791
"S1,6",0.06235241600215034,0.44055142736612385,0.5971222968420213,0.5971220343810585
"S1,7",0.016454447737162623,0.0048284183447675644,0.3292688507053534,0.32926870697685356
"S1,8",0.6433299631818634,0.6760651759978538,0.3503958711486463,0.3503954796676313
"S2,1",0.21079575400291176,0.7532288962544533,0.22846758933029634,0.22846740384801054
"S2,3",0.53846597191722,0.30886145811749366,0.5892075442769776,0.5892071764666376
"S2,4",0.20703125,0.15581947853925537,0.35907361881161454,0.35907478743320287
"S2,5",0.39025850801980316,0.47136168054729344,0.3432601152443346,0.34326053674245266
"S2,6",0.16822747484894726,0.6373573308834448,0.3545908035729722,0.35459088036087416
"S2,7",0.03158350418685469,0.024943468226206997,0.19238665473825994,0.19238694440561926
"S2,8",0.6773801783493056,0.8782853018770392,0.5878442091439875,0.5878458991177379
"S3,1",0.2508153597684457,0.18730219201099668,0.29076213935488676,0.29076185338635746
"S3,2",0.53846597191722,0.30886145811749366,0.5892075442769776,0.5892071764666376
"S3,4",0.9001384353975479,0.7767615693603281,0.2600467277957351,0.26004666435197227
"S3,5",0.920587269408137,0.6538526143611912,0.37621227491065334,0.3762124906084913
"S3,6",0.6703675753274295,0.5907380118600343,0.42811053332302335,0.42811057896329696
"S3,7",0.2437372839506171,0.40602146154521057,0.20277947485187184,0.20277945428263935
"S3,8",0.4917670010221689,0.43580139724826494,0.4818543506405963,0.48185465750707546
"S4,1",0.044629239177473363,0.07457875679256992,0.2797945880741028,0.27979429252443705
"S4,2",0.20703125,0.15581947853925537,0.35907361881161454,0.35907478743320287
"S4,3",0.9001384353975479,0.7767615693603281,0.2600467277957351,0.26004666435197227
"S4,5",1.0,0.40944434208861424,0.5042125325019671,0.5042123976665454
"S4,6",0.6202199660794111,0.38429845790350037,0.37564231999207187,0.37564233638603345
"S4,7",0.13550322232892656,0.5572921622409888,0.42841532114986836,0.42841498624766294
"S4,8",0.2427680009919807,0.2672073636568696,0.8898998643716336,0.8898989946133585
"S5,1",0.14683945485052935,0.26700449847913116,0.4759946969542542,0.4759949057557791
"S5,2",0.39025850801980316,0.47136168054729344,0.3432601152443346,0.34326053674245266
"S5,3",0.920587269408137,0.6538526143611912,0.37621227491065334,0.3762124906084913
"S5,4",1.0,0.40944434208861424,0.5042125325019671,0.5042123976665454
"S5,6",0.7048525449095584,0.8743326501791912,0.43423572522798043,0.434235794111395
"S5,7",0.21171181632296454,0.1037864915862716,0.821048805269221,0.8210484721134452
"S5,8",0.35993865468538544,0.6479336011632197,0.5438681091668063,0.5438677620926704
"S6,1",0.06235241600215034,0.44055142736612385,0.5971222968420213,0.5971220343810585
"S6,2",0.16822747484894726,0.6373573308834448,0.3545908035729722,0.35459088036087416
"S6,3",0.6703675753274295,0.5907380118600343,0.42811053332302335,0.42811057896329696
"S6,4",0.6202199660794111,0.38429845790350037,0.37564231999207187,0.37564233638603345
"S6,5",0.7048525449095584,0.8743326501791912,0.43423572522798043,0.434235794111395
"S6,7",0.3338991406915331,0.13031102741039793,0.3498675349776461,0.3498675555093871
"S6,8",0.2031106637200548,0.7834244062499999,0.4509264339490741,0.4509264196042097
"S7,1",0.016454447737162623,0.0048284183447675644,0.3292688507053534,0.32926870697685356
"S7,2",0.03158350418685469,0.024943468226206997,0.19238665473825994,0.19238694440561926
"S7,3",0.2437372839506171,0.40602146154521057,0.20277947485187184,0.20277945428263935
"S7,4",0.13550322232892656,0.5572921622409888,0.42841532114986836,0.42841498624766294
"S7,5",0.21171181632296454,0.1037864915862716,0.821048805269221,0.8210484721134452
"S7,6",0.3338991406915331,0.13031102741039793,0.3498675349776461,0.3498675555093871
"S7,8",0.056794412230292204,0.0836085598600315,0.4560216581316111,0.4560209358417192
"S8,1",0.6433299631818634,0.6760651759978538,0.3503958711486463,0.3503954796676313
"S8,2",0.6773801783493056,0.8782853018770392,0.5878442091439875,0.5878458991177379
"S8,3",0.4917670010221689,0.43580139724826494,0.4818543506405963,0.48185465750707546
"S8,4",0.2427680009919807,0.2672073636568696,0.8898998643716336,0.8898989946133585
"S8,5",0.35993865468538544,0.6479336011632197,0.5438681091668063,0.5438677620926704
"S8,6",0.2031106637200548,0.7834244062499999,0.4509264339490741,0.4509264196042097
"S8,7",0.056794412230292204,0.0836085598600315,0.4560216581316111,0.4560209358417192
