Assignment,Set #,Original order in ppt,"Source (Probe list, Patient)",Semantic  Category,Cog Status (Span/Cat),Palabra en English,Palabra en Castellano,Paraula en Català,Espal_NSYL,Espal_IMG,Espal_NLET,Espal_CON,Espal_FAM,ClearpondFrequency_PerMil_Esp,Coca_word Freq (Total) - Web/Dialects,COCA_full freq Eng,Clearpond_wordLength_orthographic_Eng,Clearpond_Lexical_Frequency_Eng,MRC Concreteness,MRC Familiarity,MRC Imigability,MRC N_of_Letters,MRC N_of_Syllables,CAT_SUBTLEX_NSYL,NIM_NLET,NIM_WordFreq_Relativa,NIM_WordFreq_Total_Absoluta
Untrained,5,255.0,Probe List,body part,1.0,ear,Oreja ,Orella ,2.0,2.0,6.0,2.0,2.0,NaN,NaN,30738.0,3,32.0,337.0,582.0,408.0,6.0,1.0,NaN,7.0,NaN,NaN
Untrained,6,251.0,Probe List,animal,1.0,dragonfly,libélula,libèl·lula,4.0,2.0,8.0,2.0,2.0,1.1058,557.0,573.0,9,2.8431,NaN,NaN,NaN,8.0,NaN,4.0,10.0,0.370705,19.0
Untrained,6,448.0,Probe List,drink,1.0,water,agua,aigua,2.0,6.39,4.0,6.113,6.113,249.9279,626821.0,324518.0,5,225.0588,616.0,641.0,632.0,4.0,2.0,2.0,5.0,449.763,23052.0
Untrained,6,224.0,Probe List,object,1.0,Street light,Farola,Fanal,2.0,2.0,6.0,2.0,2.0,NaN,NaN,NaN,12,NaN,NaN,NaN,NaN,6.0,2.0,NaN,5.0,NaN,NaN
Untrained,6,171.0,Probe List,instrument,1.0,violin,violín,violí,2.0,6.398,6.0,6.321,6.321,4.5192,6698.0,4837.0,6,4.7451,626.0,468.0,606.0,6.0,3.0,3.0,5.0,10.77,552.0
Untrained,6,443.0,Probe List,food/dessert,1.0,cookie,Galleta,galeta,2.0,2.0,7.0,2.0,2.0,NaN,NaN,10691.0,6,16.7059,634.0,585.0,600.0,7.0,2.0,3.0,6.0,1.54135,79.0
Trained in Spanish,7,338.0,Probe List,hygene product/ health,1.0,medication,medicación/medicina/medicamento/pastillas,medicació,4.0,2.795,9.5,2.77325,2.77325,NaN,NaN,15452.0,10,12.7843,NaN,NaN,NaN,9.5,4.0,5.0,9.0,3.49243,179.0
Trained in Spanish,7,462.0,Probe List,object,2.0,magazine,revista,revista,3.0,6.123,7.0,5.38,5.38,39.9519,161550.0,59601.0,8,33.1961,588.0,585.0,588.0,7.0,3.0,3.0,7.0,42.6116,2184.0
Trained in Spanish,7,241.0,Probe List,transportation,1.0,bicycle,bicicleta,bicicleta,4.0,6.578,9.0,6.8,6.8,24.4712,32332.0,9663.0,7,6.6078,NaN,NaN,NaN,9.0,3.0,4.0,9.0,6.88731,353.0
Trained in Spanish,7,383.0,Probe List,nature,2.0,star,estrella,estrella,3.0,5.913,8.0,5.062,5.062,61.0577,87234.0,107361.0,4,81.3529,574.0,574.0,623.0,8.0,1.0,3.0,8.0,29.0321,1488.0
Trained in Spanish,7,343.0,Probe List,nature,2.0,waterfall,cascada,cascada,3.0,6.228,7.0,6.213,6.213,2.4519,6844.0,2719.0,9,1.8627,NaN,NaN,NaN,7.0,3.0,3.0,7.0,3.90216,200.0
Trained in Spanish,8,221.0,Probe List,kitchen item,1.0,Cup,Taza,Tassa,2.0,2.0,4.0,2.0,2.0,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,4.0,1.0,NaN,5.0,NaN,NaN
Trained in Spanish,8,432.0,Probe List,sport,1.0,dumbbells,pesas,peses,2.0,2.0,5.0,2.0,2.0,6.1298,7155.0,901.0,9,NaN,NaN,NaN,NaN,5.0,NaN,2.0,5.0,0.838964,43.0
Trained in Spanish,8,226.0,Probe List,household item,1.0,Mop,Fregona/trapeadora/mapo,fregona,2.0,2.0,7.0,2.0,2.0,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,7.0,1.0,3.0,7.0,0.117065,6.0
Trained in Spanish,8,364.0,Probe List,drink,1.0,juice,jugo/zumo,suc,2.0,6.1705000000000005,4.0,4.9384999999999994,4.9384999999999994,NaN,NaN,26393.0,5,26.8824,599.0,567.0,593.0,4.0,1.0,1.0,3.0,22.3204,1144.0
Trained in Spanish,8,138.0,Probe List,office supply,0.0,Pencil sharpener,Sacapuntas,Maquineta,2.0,2.0,10.0,2.0,2.0,NaN,NaN,NaN,16,NaN,NaN,NaN,NaN,10.0,5.0,NaN,9.0,NaN,NaN
