Assignment,Set #,Original order in ppt,"Source (Probe list, Patient)",Semantic  Category,Cog Status (Span/Cat),Palabra en English,Palabra en Castellano,Paraula en Català,Espal_NSYL,Espal_IMG,Espal_NLET,Espal_CON,Espal_FAM,ClearpondFrequency_PerMil_Esp,Coca_word Freq (Total) - Web/Dialects,COCA_full freq Eng,Clearpond_wordLength_orthographic_Eng,Clearpond_Lexical_Frequency_Eng,MRC Concreteness,MRC Familiarity,MRC Imigability,MRC N_of_Letters,MRC N_of_Syllables,CAT_SUBTLEX_NSYL,NIM_NLET,NIM_WordFreq_Relativa,NIM_WordFreq_Total_Absoluta
Trained in Catalan,7,100,Probe List,place,1,Gym,gimnasio,gimnàs,3,6.492,8,6.135,6.135,25.0962,22160,NaN,3,NaN,NaN,NaN,NaN,8,1,2,6,2.00961,103
Trained in Catalan,7,338,Probe List,hygene product/ health,1,medication,medicación/medicina/medicamento/pastillas,medicació,4,2.795,9.5,2.77325,2.77325,NaN,NaN,15452,10,12.7843,NaN,NaN,NaN,9.5,4,5,9,3.49243,179
Trained in Catalan,7,355,Probe List,clothing,1,sweater,suéter/jersey,jersei,2,4.106,6,4.195,4.195,NaN,NaN,8526,7,13.8039,NaN,NaN,NaN,6,2,2,6,3.58999,184
Trained in Catalan,7,331,Probe List,kitchen item,1,whisk,batidora,batedor/minipimer,4,2,8,2,2,NaN,2766,4947,5,0.56863,NaN,NaN,NaN,8,1,NaN,8,NaN,NaN
Trained in Catalan,7,413,Probe List,profession/person,1,astronaut,astronauta,astronauta,4,6.319,10,6.294,6.294,6.274,4282,4276,9,3.9608,NaN,NaN,NaN,10,3,4,10,0.292662,15
Trained in Spanish,8,13,Probe List,kitchen item,0,Grill,Parrilla/Asador,Graella,2,2,7,2,2,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,7,1,NaN,7,NaN,NaN
Trained in Spanish,8,467,Probe List,nature,1,river,río,riu,2,6.255,3,6.271,6.271,61.5144,183183,89579,5,55.4706,585,565,633,3,2,1,3,156.242,8008
Trained in Spanish,8,293,Probe List,kitchen item,2,thermos,termo,termo,2,2,5,2,2,1.4663,1804,989,7,1.1176,NaN,NaN,NaN,5,2,2,5,0.117065,6
Trained in Spanish,8,76,Probe List,tools,0,Screw,Tornillo,Cargol,2,2,8,2,2,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,8,1,NaN,6,NaN,NaN
Trained in Spanish,8,363,Probe List,clothing,2,boot,bota,bota,2,6.749,4,5.429,5.429,5.1202,5298,13328,4,11.1373,595,566,604,4,1,2,4,6.45807,331
