Assignment,Set #,Original order in ppt,"Source (Probe list, Patient)",Semantic  Category,Cog Status (Span/Cat),Palabra en English,Palabra en Castellano,Paraula en Català,Espal_NSYL,Espal_IMG,Espal_NLET,Espal_CON,Espal_FAM,ClearpondFrequency_PerMil_Esp,Coca_word Freq (Total) - Web/Dialects,COCA_full freq Eng,Clearpond_wordLength_orthographic_Eng,Clearpond_Lexical_Frequency_Eng,MRC Concreteness,MRC Familiarity,MRC Imigability,MRC N_of_Letters,MRC N_of_Syllables,CAT_SUBTLEX_NSYL,NIM_NLET,NIM_WordFreq_Relativa,NIM_WordFreq_Total_Absoluta
Trained in Spanish,1,325.0,Probe List,animal,2.0,goat ,cabra,cabra,2.0,6.111,5.0,6.22,6.22,10.024,7591.0,NaN,5.0,NaN,NaN,NaN,NaN,5.0,1.0,2.0,5.0,11.5894,594.0
Trained in Spanish,1,24.0,Probe List,object,1.0,Fountain,fuente,font,2.0,6.524,6.0,5.054,5.054,43.8942,220592.0,NaN,8.0,NaN,NaN,NaN,NaN,6.0,2.0,1.0,4.0,99.6807,5109.0
Trained in Spanish,1,147.0,Probe List,office supply,1.0,pencil,lápiz,llapis,2.0,5.96,5.0,6.765,6.765,14.8317,14514.0,8837.0,6.0,9.8627,617.0,598.0,607.0,5.0,2.0,2.0,6.0,10.848,556.0
Trained in Spanish,1,171.0,Probe List,instrument,1.0,violin,violín,violí,2.0,6.398,6.0,6.321,6.321,4.5192,6698.0,4837.0,6.0,4.7451,626.0,468.0,606.0,6.0,3.0,3.0,5.0,10.77,552.0
Trained in Spanish,1,257.0,Probe List,place,1.0,castle,castillo,castell,3.0,6.346,8.0,5.914,5.914,21.2981,56232.0,15378.0,6.0,21.549,0.0,415.0,NaN,8.0,2.0,2.0,7.0,82.2575,4216.0
Untrained,2,324.0,Probe List,place,1.0,airport,aeropuerto,aeroport,5.0,6.356,10.0,6.118,6.118,47.5962,57367.0,36793.0,7.0,38.0392,NaN,NaN,NaN,10.0,2.0,4.0,8.0,2.79004,143.0
Untrained,2,399.0,Probe List,accessory,1.0,watch,reloj,rellotge,2.0,6.043,5.0,6.518,6.518,51.5385,40367.0,167009.0,5.0,330.0196,487.0,576.0,525.0,5.0,1.0,3.0,8.0,39.9971,2050.0
Untrained,2,441.0,Probe List,animal,2.0,walrus,morsa,morsa,2.0,2.0,5.0,2.0,2.0,1.3942,632.0,643.0,6.0,1.1176,629.0,506.0,590.0,5.0,2.0,2.0,5.0,0.23413,12.0
Untrained,2,400.0,Probe List,food/fruit,1.0,watermelon,sandía,síndria,3.0,2.0,6.0,2.0,2.0,2.2837,3017.0,2322.0,10.0,2.1961,NaN,NaN,NaN,6.0,NaN,3.0,7.0,1.63891,84.0
Untrained,2,463.0,Probe List,animal,2.0,cow,vaca,vaca,2.0,6.023,4.0,6.499,6.499,19.4952,24528.0,13200.0,3.0,25.5098,621.0,529.0,632.0,4.0,1.0,2.0,4.0,12.6235,647.0
