Assignment,Set #,Original order in ppt,"Source (Probe list, Patient)",Semantic  Category,Cog Status (Span/Cat),Palabra en English,Palabra en Castellano,Paraula en Català,Espal_NSYL,Espal_IMG,Espal_NLET,Espal_CON,Espal_FAM,ClearpondFrequency_PerMil_Esp,Coca_word Freq (Total) - Web/Dialects,COCA_full freq Eng,Clearpond_wordLength_orthographic_Eng,Clearpond_Lexical_Frequency_Eng,MRC Concreteness,MRC Familiarity,MRC Imigability,MRC N_of_Letters,MRC N_of_Syllables,CAT_SUBTLEX_NSYL,NIM_NLET,NIM_WordFreq_Relativa,NIM_WordFreq_Total_Absoluta
Trained in Catalan,3,137.0,Probe List,animal,1.0,bear,oso,ós,2.0,5.342,3.0,6.383,6.383,27.5481,12676.0,53348.0,4.0,57.4118,585.0,526.0,572.0,3.0,1.0,1.0,2.0,9.5798,491.0
Trained in Catalan,3,411.0,Probe List,transportation,1.0,Cableway,Teleférico,Telefèric,2.0,2.0,10.0,2.0,2.0,NaN,NaN,NaN,8.0,NaN,NaN,NaN,NaN,10.0,3.0,NaN,9.0,NaN,NaN
Trained in Catalan,3,483.0,Probe List,object,1.0,lock,candado,cadenat/candau,3.0,6.222,7.0,6.179,6.179,3.0288,3398.0,24899.0,4.0,56.5686,565.0,588.0,532.0,7.0,1.0,NaN,6.5,NaN,NaN
Trained in Catalan,3,106.0,Probe List,object,0.0,brick,ladrillo,maó,3.0,5.432,8.0,6.156,6.156,5.4327,9093.0,14228.0,5.0,10.1765,610.0,529.0,574.0,8.0,1.0,2.0,3.0,4.05825,208.0
Trained in Catalan,3,3.0,Probe List,animal,1.0,bee,abeja,abella,3.0,6.593,5.0,6.418,6.418,7.476,5332.0,8680.0,3.0,10.3529,597.0,554.0,623.0,5.0,1.0,3.0,6.0,7.68725,394.0
Trained in Catalan,4,322.0,Probe List,food/snack,1.0,raisins ,Pasas,panses,2.0,2.0,5.0,2.0,2.0,NaN,NaN,NaN,8.0,NaN,NaN,NaN,NaN,5.0,2.0,2.0,6.0,3.16075,162.0
Trained in Catalan,4,315.0,Probe List,object,2.0,velcro,velcro,velcro,2.0,2.0,6.0,2.0,2.0,1.0337,666.0,949.0,6.0,0.84314,NaN,NaN,NaN,6.0,2.0,2.0,6.0,NaN,NaN
Trained in Catalan,4,90.0,Probe List,accessory,0.0,earrings,aretes/pantallas/,anells/arracada,2.6666666666666665,2.0,5.0,2.0,2.0,NaN,NaN,4889.0,8.0,6.1373,NaN,NaN,NaN,5.0,NaN,NaN,7.0,NaN,NaN
Trained in Catalan,4,67.0,Probe List,office supply,0.0,chalk,tiza,guix,2.0,2.0,4.0,2.0,2.0,3.4375,2015.0,4119.0,5.0,3.5882,634.0,560.0,601.0,4.0,1.0,1.0,4.0,15.9403,817.0
Trained in Catalan,4,391.0,Probe List,food/fruit,2.0,mango,mango,mango,2.0,5.764,5.0,5.113,5.113,5.1923,12415.0,3004.0,5.0,1.6471,NaN,NaN,NaN,5.0,2.0,2.0,5.0,0.136576,7.0
Trained in Spanish,5,306.0,Probe List,body part,1.0,Foot,Pie ,Peu ,2.0,2.0,4.0,2.0,2.0,NaN,NaN,NaN,4.0,NaN,NaN,NaN,NaN,4.0,1.0,NaN,4.0,NaN,NaN
Trained in Spanish,5,344.0,Probe List,food/fruit,2.0,blackberry/blackberries,móra/móras,mora/mores,2.0,2.0,4.5,2.0,2.0,NaN,NaN,NaN,11.0,NaN,NaN,NaN,NaN,4.5,3.0,NaN,4.5,NaN,NaN
Trained in Spanish,5,295.0,Probe List,object,1.0,hieroglyphics,jeroglíficos,jeroglífics,5.0,2.0,12.0,2.0,2.0,0.98558,1364.0,386.0,13.0,0.43137,NaN,NaN,NaN,12.0,4.0,4.0,11.0,0.799943,41.0
Trained in Spanish,5,454.0,Probe List,transportation/tools,1.0,car,coche/auto/carro,cotxe,2.0,6.111666666666667,4.666666666666667,5.038,5.038,NaN,NaN,244677.0,3.0,483.0588,622.0,634.0,638.0,4.666666666666667,1.0,2.0,5.0,52.0938,2670.0
Trained in Spanish,5,92.0,Probe List,beauty,0.0,mirror,espejo,mirall,3.0,5.595,6.0,6.345,6.345,28.2212,50664.0,33515.0,6.0,24.1765,605.0,593.0,627.0,6.0,2.0,2.0,6.0,37.6754,1931.0
Untrained,6,258.0,Probe List,kitchen item,1.0,microwave,microondas,microones,4.0,2.0,10.0,2.0,2.0,6.4183,9502.0,6761.0,9.0,3.902,NaN,NaN,NaN,10.0,NaN,4.0,9.0,0.156086,8.0
Untrained,6,223.0,Probe List,food/veg,1.0,Pepper,Pimiento ,Pebrot ,2.0,2.0,9.0,2.0,2.0,NaN,NaN,NaN,6.0,NaN,NaN,NaN,NaN,9.0,2.0,NaN,7.0,NaN,NaN
Untrained,6,345.0,Probe List,nature,1.0,cloud,Nube ,Núvol ,2.0,2.0,5.0,2.0,2.0,NaN,NaN,28110.0,5.0,11.7451,554.0,553.0,595.0,5.0,1.0,NaN,6.0,NaN,NaN
Untrained,6,132.0,Probe List,hygiene product/health,2.0,shampoo,champú,xampú,2.0,2.0,6.0,2.0,2.0,3.7019,NaN,3101.0,7.0,4.2157,NaN,NaN,NaN,6.0,2.0,2.0,5.0,0.526792,27.0
Untrained,6,166.0,Probe List,person,1.0,child,niño,nen,2.0,6.39,4.0,6.177,6.177,268.8702,353335.0,242585.0,5.0,157.6471,581.0,585.0,619.0,4.0,1.0,1.0,3.0,77.3603,3965.0
Trained in Spanish,7,4.0,Probe List,food/fruit,0.0,Plums,Ciruelas,Prunes,2.0,2.0,8.0,2.0,2.0,NaN,NaN,NaN,5.0,NaN,NaN,NaN,NaN,8.0,1.0,NaN,6.0,NaN,NaN
Trained in Spanish,7,438.0,Probe List,sports,1.0,baseball,béisbol,beisbol,2.0,2.0,7.0,2.0,2.0,25.8894,19662.0,52311.0,8.0,25.2549,NaN,NaN,NaN,7.0,NaN,2.0,7.0,0.175597,9.0
Trained in Spanish,7,69.0,Probe List,food/veg,0.0,pickle,pepinillo,cogombret,4.0,2.0,9.0,2.0,2.0,1.3702,233.0,2118.0,6.0,4.6078,606.0,562.0,641.0,9.0,2.0,3.0,9.0,NaN,NaN
Trained in Spanish,7,416.0,Probe List,food/fruit,2.0,Coconut,Coco,coco,2.0,2.0,4.0,2.0,2.0,NaN,NaN,NaN,7.0,NaN,NaN,NaN,NaN,4.0,3.0,2.0,4.0,2.32178,119.0
Trained in Spanish,7,27.0,Probe List,animal,0.0,donkey,burro,ruc/burro,2.0,2.0,5.0,4.94,4.94,9.4712,10723.0,3685.0,6.0,5.3529,NaN,NaN,NaN,5.0,2.0,NaN,4.0,NaN,NaN
Trained in Catalan,8,286.0,Probe List,object,1.0,Diamond,diamante,diamant,3.0,2.0,8.0,2.0,2.0,13.2452,8822.0,NaN,7.0,NaN,NaN,NaN,NaN,8.0,2.0,3.0,7.0,6.08737,312.0
Trained in Catalan,8,148.0,Probe List,food/meal,2.0,Soup,sopa,sopa,2.0,6.227,4.0,6.164,6.164,25.8173,18087.0,NaN,4.0,NaN,NaN,NaN,NaN,4.0,1.0,2.0,4.0,17.5207,898.0
Trained in Catalan,8,451.0,Probe List,kitchen item,2.0,Salt,sal,sal,1.0,6.328,3.0,5.896,5.896,111.875,68041.0,NaN,4.0,NaN,NaN,NaN,NaN,3.0,1.0,1.0,3.0,45.1285,2313.0
Trained in Catalan,8,274.0,Probe List,nature,1.0,lightning,relámpago/rayo,llampec/llamp,3.0,6.221,6.5,5.9079999999999995,5.9079999999999995,NaN,NaN,13203.0,9.0,14.1373,525.0,465.0,599.0,6.5,2.0,NaN,6.0,NaN,NaN
Trained in Catalan,8,58.0,Probe List,electronics,1.0,phone,teléfono,telèfon,4.0,6.723,8.0,6.42,6.42,238.6298,150197.0,175412.0,5.0,269.7255,624.0,550.0,587.0,8.0,1.0,3.0,7.0,34.0463,1745.0
