Assignment,Set #,Original order in ppt,"Source (Probe list, Patient)",Semantic  Category,Cog Status (Span/Cat),Palabra en English,Palabra en Castellano,Paraula en Català,Espal_NSYL,Espal_IMG,Espal_NLET,Espal_CON,Espal_FAM,ClearpondFrequency_PerMil_Esp,Coca_word Freq (Total) - Web/Dialects,COCA_full freq Eng,Clearpond_wordLength_orthographic_Eng,Clearpond_Lexical_Frequency_Eng,MRC Concreteness,MRC Familiarity,MRC Imigability,MRC N_of_Letters,MRC N_of_Syllables,CAT_SUBTLEX_NSYL,NIM_NLET,NIM_WordFreq_Relativa,NIM_WordFreq_Total_Absoluta
Trained in Catalan,6,340,Probe List,household item,1,sink,pica/fregadero,pica/fregadero,3.0,2.0,6.5,4.141,4.141,NaN,NaN,19461.0,4,16.9216,590.0,586.0,599.0,6.5,1.0,NaN,6.5,NaN,NaN
Trained in Catalan,6,282,Probe List,electronics,1,headphones,auriculares,auriculars,5.0,2.0,11.0,2.0,2.0,2.476,5473.0,3755.0,10,1.5686,NaN,NaN,NaN,11.0,NaN,4.0,10.0,0.917008,47.0
Trained in Catalan,6,25,Probe List,kitchen item,0,Cork,Corcho,Tap de suro / Tap,2.0,2.0,6.0,2.0,2.0,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,6.0,1.0,NaN,8.0,NaN,NaN
Trained in Catalan,6,374,Probe List,object,1,helmet,casco,casc,2.0,5.797,5.0,4.402,4.402,16.8029,22907.0,10342.0,6,9.4706,602.0,528.0,620.0,5.0,2.0,1.0,4.0,8.95546,459.0
Trained in Catalan,6,476,Probe List,household item,1,light bulb,bombilla,bombeta,3.0,6.203,8.0,6.362,6.362,1.9231,4304.0,NaN,10,NaN,NaN,NaN,NaN,8.0,2.0,3.0,7.0,7.74579,397.0
Trained in Catalan,7,100,Probe List,place,1,Gym,gimnasio,gimnàs,3.0,6.492,8.0,6.135,6.135,25.0962,22160.0,NaN,3,NaN,NaN,NaN,NaN,8.0,1.0,2.0,6.0,2.00961,103.0
Trained in Catalan,7,338,Probe List,hygene product/ health,1,medication,medicación/medicina/medicamento/pastillas,medicació,4.0,2.795,9.5,2.77325,2.77325,NaN,NaN,15452.0,10,12.7843,NaN,NaN,NaN,9.5,4.0,5.0,9.0,3.49243,179.0
Trained in Catalan,7,355,Probe List,clothing,1,sweater,suéter/jersey,jersei,2.0,4.106,6.0,4.195,4.195,NaN,NaN,8526.0,7,13.8039,NaN,NaN,NaN,6.0,2.0,2.0,6.0,3.58999,184.0
Trained in Catalan,7,331,Probe List,kitchen item,1,whisk,batidora,batedor/minipimer,4.0,2.0,8.0,2.0,2.0,NaN,2766.0,4947.0,5,0.56863,NaN,NaN,NaN,8.0,1.0,NaN,8.0,NaN,NaN
Trained in Catalan,7,413,Probe List,profession/person,1,astronaut,astronauta,astronauta,4.0,6.319,10.0,6.294,6.294,6.274,4282.0,4276.0,9,3.9608,NaN,NaN,NaN,10.0,3.0,4.0,10.0,0.292662,15.0
Trained in Spanish,8,76,Probe List,tools,0,Screw,Tornillo,Cargol,2.0,2.0,8.0,2.0,2.0,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,8.0,1.0,NaN,6.0,NaN,NaN
Trained in Spanish,8,13,Probe List,kitchen item,0,Grill,Parrilla/Asador,Graella,2.0,2.0,7.0,2.0,2.0,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,7.0,1.0,NaN,7.0,NaN,NaN
Trained in Spanish,8,467,Probe List,nature,1,river,río,riu,2.0,6.255,3.0,6.271,6.271,61.5144,183183.0,89579.0,5,55.4706,585.0,565.0,633.0,3.0,2.0,1.0,3.0,156.242,8008.0
Trained in Spanish,8,293,Probe List,kitchen item,2,thermos,termo,termo,2.0,2.0,5.0,2.0,2.0,1.4663,1804.0,989.0,7,1.1176,NaN,NaN,NaN,5.0,2.0,2.0,5.0,0.117065,6.0
Trained in Spanish,8,363,Probe List,clothing,2,boot,bota,bota,2.0,6.749,4.0,5.429,5.429,5.1202,5298.0,13328.0,4,11.1373,595.0,566.0,604.0,4.0,1.0,2.0,4.0,6.45807,331.0
