Ttests Within Languages_Catalan,CAT_SUBTLEX_NSYL,NIM_NLET,NIM_WordFreq_Relativa,NIM_WordFreq_Total_Absoluta
"S1,2",0.7023857412947725,0.25091713765155527,0.32220747898555707,0.32220721390639107
"S1,3",0.9195780394473226,0.1756987181106678,0.0976960578370507,0.09769622647490786
"S1,4",0.2874083379175114,0.2731392225914405,0.7405303957507103,0.7405307181414441
"S1,5",0.9195780394473226,0.15877705865741132,0.9579935445078731,0.9579939089405707
"S1,6",0.9195780394473226,0.10804453612643768,0.9824885980208083,0.9824905426295727
"S1,7",0.4816178143121542,0.15856346656378348,0.12998068539424543,0.12998078621225267
"S1,8",0.3877936153408455,0.280014507552894,0.27634893297869473,0.2763489124763656
"S2,1",0.7023857412947725,0.25091713765155527,0.32220747898555707,0.32220721390639107
"S2,3",0.750632717523267,0.779050350159992,0.34492054097995944,0.3449206913682548
"S2,4",0.35993865468538544,1.0,0.309235955462326,0.3092357152150322
"S2,5",0.750632717523267,0.7731910360842285,0.46745263582352603,0.46745194300950893
"S2,6",0.750632717523267,1.0,0.42400803195358294,0.42400899900406575
"S2,7",1.0,0.6883278365280222,0.1180010993710257,0.11800094918322021
"S2,8",0.4365880610203816,0.8960692177320336,0.4449823289532271,0.444982308752841
"S3,1",0.9195780394473226,0.1756987181106678,0.0976960578370507,0.09769622647490786
"S3,2",0.750632717523267,0.779050350159992,0.34492054097995944,0.3449206913682548
"S3,4",0.48805269099201165,0.7844779352140978,0.13214976275012247,0.13214997091866837
"S3,5",1.0,1.0,0.16051175157789843,0.16051185304283186
"S3,6",1.0,0.7440171738228161,0.15270896191297373,0.1527093683453357
"S3,7",0.6773801783493056,0.8983386825669399,0.14112822811187722,0.1411285078022493
"S3,8",0.5504150390625,0.9008752910951499,0.5316276042434651,0.531627652849991
"S4,1",0.2874083379175114,0.2731392225914405,0.7405303957507103,0.7405307181414441
"S4,2",0.35993865468538544,1.0,0.309235955462326,0.3092357152150322
"S4,3",0.48805269099201165,0.7844779352140978,0.13214976275012247,0.13214997091866837
"S4,5",0.48805269099201165,0.779050350159992,0.771199694576257,0.7712000960538692
"S4,6",0.48805269099201165,1.0,0.8104170284411572,0.8104159389124422
"S4,7",0.2427680009919807,0.6951234381739306,0.3420316863659303,0.34203121249799673
"S4,8",1.0,0.8983386825669399,0.3339208623051351,0.333920852785853
"S5,1",0.9195780394473226,0.15877705865741132,0.9579935445078731,0.9579939089405707
"S5,2",0.750632717523267,0.7731910360842285,0.46745263582352603,0.46745194300950893
"S5,3",1.0,1.0,0.16051175157789843,0.16051185304283186
"S5,4",0.48805269099201165,0.779050350159992,0.771199694576257,0.7712000960538692
"S5,6",1.0,0.7347801456791725,0.9532440327908136,0.9532458156608878
"S5,7",0.6773801783493056,0.8960692177320336,0.2901591475929947,0.2901588883630235
"S5,8",0.5504150390625,0.8987749919426279,0.34101008579995845,0.3410100535387519
"S6,1",0.9195780394473226,0.10804453612643768,0.9824885980208083,0.9824905426295727
"S6,2",0.750632717523267,1.0,0.42400803195358294,0.42400899900406575
"S6,3",1.0,0.7440171738228161,0.15270896191297373,0.1527093683453357
"S6,4",0.48805269099201165,1.0,0.8104170284411572,0.8104159389124422
"S6,5",1.0,0.7347801456791725,0.9532440327908136,0.9532458156608878
"S6,7",0.6773801783493056,0.6458922167119555,0.2832828221038046,0.28328287657714446
"S6,8",0.5504150390625,0.8818870120441558,0.3394661017501751,0.3394661286244489
"S7,1",0.4816178143121542,0.15856346656378348,0.12998068539424543,0.12998078621225267
"S7,2",1.0,0.6883278365280222,0.1180010993710257,0.11800094918322021
"S7,3",0.6773801783493056,0.8983386825669399,0.14112822811187722,0.1411285078022493
"S7,4",0.2427680009919807,0.6951234381739306,0.3420316863659303,0.34203121249799673
"S7,5",0.6773801783493056,0.8960692177320336,0.2901591475929947,0.2901588883630235
"S7,6",0.6773801783493056,0.6458922167119555,0.2832828221038046,0.28328287657714446
"S7,8",0.35993865468538544,0.81032951991051,0.397983686088351,0.3979836774679577
"S8,1",0.3877936153408455,0.280014507552894,0.27634893297869473,0.2763489124763656
"S8,2",0.4365880610203816,0.8960692177320336,0.4449823289532271,0.444982308752841
"S8,3",0.5504150390625,0.9008752910951499,0.5316276042434651,0.531627652849991
"S8,4",1.0,0.8983386825669399,0.3339208623051351,0.333920852785853
"S8,5",0.5504150390625,0.8987749919426279,0.34101008579995845,0.3410100535387519
"S8,6",0.5504150390625,0.8818870120441558,0.3394661017501751,0.3394661286244489
"S8,7",0.35993865468538544,0.81032951991051,0.397983686088351,0.3979836774679577
